Категория;Вопрос;Правильный ответ;Неправильный ответ;Неправильный ответ;Неправильный ответ
Сериалы;"Сколько главных героев (друзей) в сериале ""Друзья""";Шесть;Семь;Пять;Восемь
Сериалы;Самый длинный сериал за всю историю;Путеводный свет;Санта-Барбара;Зачарованные;Друзья
Сериалы;Самый популярный сериал (по количеству оценок imdb);Игра престолов;Друзья;Во все тяжкие;Шерлок
Сериалы;Самый дорогой сериал;Корона;Декстер;Игра престолов;Рим
Сериалы;"Какой автомоиль был у братьев из сериала ""Сверхъестественное""?";Chevrolet Impala;Chevrolet Corvette;Chevrolet Camaro;Chevrolet Tahoe
Сериалы;"В каком городе происходят действия сериала ""Сладкая жизнь""";Москва;Санкт-Петербург;Саратов;Николаев
Сериалы;"Сколько весит книга таинств из сериалаа ""Зачарованные""";4300 гр;2500 гр;7000 гр;500 гр
Сериалы;"Сколько актеров прослушивались на роль Шерлока в сериале ""Шерлок""";1;15;100;1000
Сериалы;"Из чего был сделан метаамфетамин в сериале ""Во все тяжкие""";Из подкрашенной карамели;Из стекла;Настоящий метамфетамин;Пласстмасса
Сериалы;"В каком году вышла первая серия сериала ""Клиника""?";2001;2003;2004;2006
Сериалы;"Кто иссполняет главную роль в сериале ""Стрела""";Стивен Амелл;Грант Гастин;Майкл Скофилд;Бенджамин Маккензи
Сериалы;"Как зовут младшую сестру главной героини сериала ""Ольга""";Лена;Ольга;Диана;Матрена
Сериалы;"Почему из сериала ""Улицы"" пропал главный герой?";Погиб;Отказался продлевать контракт;Разругался со съемочной группой;Получил инвалиднонсть
Сериалы;Самый первый сериал;Одинокий Рейнджер;Лунный свет;Рабыня Изаура;Санта-Барбара
Сериалы;Первый сериал на Российском телевидении;Рабыня Изаура;Напряги извилины ;Мифы древней Греции;Отель
Естественные науки;Какого газа в атмосфере наибольшее количество;Азот;Кислород;Углекислый газ;Водород
Естественные науки;Какого металла на Земле наибольшее количество?;Алюминий;Железо;Серебро;Уран
Естественные науки;Кто получил первую Нобелевская премию по физике?;Вильгельм Рентген;Антуан Анри Беккерель;Эрнест Резерфорд;Мария Склодовская-Кюри
Естественные науки;Выберете из предложенных вариантов ответа диэлектрик;Дистиллированная вода;Кремний;Серебро;Хром
Естественные науки;Какого элемента из предложенных нет в составе пороха?;Аммиак;Уголь;Селитра;Сера
Естественные науки;Самая легкая жидкость;Сжиженный водород;Сжиженный гелий;Растительное масло;Вода
Естественные науки;Самый тугоплавкий металл;Вольфрам;Титан;Молибден;Хром
Естественные науки;Какое поле имеет любой предмет;Гравитационное;Электрическое;Магнитное;Биополе
Естественные науки;Самый легкий газ;Водород;Гелий;Кислород;Криптон
Естественные науки;Самый тяжелый газ;Радон;Криптон;Водород;Гелий
Естественные науки;Наименьшее количество примесей имеет вода;Дождевая;Минеральная;Морская;Речная
Кулнария;Из чего делают рисовую бумагу?;Кора деревьев;Рис;Пшеничная мука;Сахар
Кулнария;Какой продукт изначально входил в состав кетчупа?;Маринованая рыба;Томаты;Перец;Свекла
Кулнария;В какой стране написана первая в истори кулинарная книга?;Греция;Россия;Италия;Украина
Кулнария;Самый частоупотребляемый напиток;Чай;Кофе;Пиво;Пепси
Кулнария;Срок годности меда;3000 лет;1 год;6 месяцев;3 года
